"Reduz","Lote","Calo_Pe","Alojamento","Alojadas","Abatidas","% Mort","morte_perc","Idade","P.M.","densidade","C.A.","C.A.C.","viabilidade_lote","GPD","fator_prod","IEP","peso_total","pgto_ave_produtor","pag_ave","Custo Fomento","Custo Pinto","Custo Racao","Custo Medic","Custo FV","Custo Pega","Custo Integrado","controle_laudo","Custo Granja","Custo Plataforma","pgto_liquido_produtor","tipo_galpao","Pgto_Ave_Bon","vlr_med_peso","vlr_contribuicao_sind","IEL"
"#","4038","28,96","2025-11-02 00:00:00.000","61105","59485","2,65","2,65","40,09","2,734","13,58","1,624","1,728","97,35","68,2","408,8","253,29","162660","1,480852","1,25","0","1,2585","2,6892","0,0116","0","0","0,4571","N","4,4164","4,4164","74356,25","Dark","0,2971","0,02","0","16"
"#","5727","71,44","2025-11-08 00:00:00.000","26500","23880","9,89","9,89","40,9","2,992","13,52","1,636","1,682","90,11","73,15","402,93","231,09","71460","1,183951","1,126","0","1,4333","2,6958","0,0158","0","0","0,3763","N","4,5212","4,5212","26888,88","Dark","0,1182","0,032","0","17"
"#","6898","51,75","2025-10-26 00:00:00.000","20200","19250","4,7","4,7","44,22","3,294","13,47","1,631","1,61","95,3","74,49","435,26","263,96","63410","1,501913","1,404","0","1,0672","2,6377","0,04","0","0","0,4262","N","4,1711","4,1711","27027","","0,1579","0,063","0","18"
"#","3987","39,92","2025-10-25 00:00:00.000","19000","17162","9,67","9,67","45,23","3,597","12,57","1,633","1,545","90,33","79,53","439,91","252,88","61740","1,847597","1,7554","0","0","2,9348","0,0112","0","0","0,4879","N","3,4339","3,4339","30126,03","automatizado","0,1601","0,023","0","17"
"#","7498","27,3","2025-11-12 00:00:00.000","15300","14808","3,22","3,22","41,18","2,836","12,75","1,657","1,738","96,78","68,87","402,24","247,76","42000","1,177335","1,1493","0","0,7965","2,9018","0,0189","0","0","0,4052","N","4,1224","4,1224","17018,4","automatizado","0,0982","0,041","0","22"
"#","4004","78,25","2025-11-02 00:00:00.000","41500","39550","4,7","4,7","44","3,235","13,56","1,735","1,727","95,3","73,52","403,85","244,92","127940","1,572598","1,42","0","0,7642","2,8742","0,0119","0","0","0,439","N","4,0893","4,0893","56161","Dark","0,2174","0,037","0","17"
"#","3988","33,5","2025-10-25 00:00:00.000","20100","18210","9,4","9,4","46,01","3,59","12,56","1,638","1,551","90,6","78,03","431,58","248,85","65380","1,900935","1,84","0","0,364","2,9451","0,0307","0","0","0,5125","N","3,8523","3,8523","33506,4","automatizado","0,1398","0,049","0","18"
"#","3972","42,13","2025-10-15 00:00:00.000","33000","30705","6,95","6,95","46,66","3,448","13,75","1,693","1,638","93,05","73,9","406,15","240,49","105880","1,630815","1,4193","0","0","2,9812","0,0174","0","0","0,4116","N","3,4102","3,4102","43580,21","Dark","0,2776","0,023","0","20"
"#","6930","53,57","2025-10-29 00:00:00.000","28500","27832","2,34","2,34","39,77","2,69","13,57","1,506","1,619","97,66","67,64","438,62","272,61","74880","1,326952","1,36","0","1,275","2,5355","0,0081","0","0","0,5055","N","4,3241","4,3241","37851,52","Dark","0,0372","0,029","0","19"
"#","2701","22,94","2025-10-18 00:00:00.000","36500","34950","4,25","4,25","44,11","3,163","13,42","1,614","1,622","95,75","71,71","425,4","259,24","110560","1,418226","1,39","0","0,7778","2,5124","0,013","0","0","0,4394","P","3,7426","3,7426","48580,5","Dark","0,0976","0,028","0","19"
"#","7564","40,6","2025-11-14 00:00:00.000","15400","14642","4,92","4,92","46,43","3,415","12,83","1,664","1,616","95,08","73,55","420,27","254,28","50000","1,558153","1,4827","0","0,8686","2,9512","0,0078","0","0","0,4342","N","4,2618","4,2618","21710","automatizado","0,1484","0,018","0","67"
"#","7548","19,64","2025-11-15 00:00:00.000","27500","26000","5,45","5,45","45,66","3,417","12,82","1,613","1,565","94,55","74,84","438,67","263,95","88850","1,696886","1,521","0","1,0369","2,6919","0,0362","0","0","0,4451","N","4,2101","4,2101","39546","Dark","0,2085","0,06","0","12"
"#","7198","55,23","2025-11-13 00:00:00.000","46200","42516","7,97","7,97","40,61","2,856","13,92","1,635","1,711","92,03","70,33","395,86","231,79","121410","1,634098","1,54","0","0,9821","2,7287","0,0289","0","0","0,5393","N","4,279","4,279","65474,64","Dark","0,1676","0,039","0","17"
"#","7197","26,34","2025-11-13 00:00:00.000","49000","46520","5,06","5,06","40,31","2,957","14,08","1,537","1,591","94,94","73,36","453,12","273,78","137570","2,022327","1,84","0","0,9193","2,5659","0,0218","0","0","0,6222","N","4,1292","4,1292","85596,8","Dark","0,2468","0,029","0","17"
"#","5728","36,79","2025-11-08 00:00:00.000","26500","24885","6,09","6,09","40,2","3,069","13,52","1,484","1,513","93,91","76,34","483,11","288,74","76380","1,69464","1,593","0","1,341","2,4433","0,0206","0","0","0,519","N","4,3239","4,3239","39641,81","","0,2675","0,036","0","18"
