"produto_final","ingrediente","qtd_dosada","custo"
"RACAO MATRIZ CRESCIMENTO 1","ADSORVENTE DE MICOTOXINAS NOTOX POUTRY","58,983","715,4397"
"RACAO MATRIZ CRESCIMENTO 1","BICARBONATO DE SODIO","88,628","301,3352"
"RACAO MATRIZ CRESCIMENTO 1","CALCARIO AVIC PO","947,2","152,3118"
"RACAO MATRIZ CRESCIMENTO 1","FARELO DE SOJA 46/47%","6411","10806,64"
"RACAO MATRIZ CRESCIMENTO 1","FARELO DE TRIGO GRANEL","11309","11547,23"
"RACAO MATRIZ CRESCIMENTO 1","LISINA 98/99%","47,182","474,6229"
"RACAO MATRIZ CRESCIMENTO 1","METIONINA DL-99 PO","117,997","1655,767"
"RACAO MATRIZ CRESCIMENTO 1","SAL MOIDO P/ RACAO","218,306","305,6284"
"RACAO MATRIZ CRESCIMENTO 1","TREONINA 98,5%","73,761","657,8154"
"RACAO MATRIZ CRESCIMENTO 1","SORGO EM GRAO","38513,4","36474,38"
"RACAO MATRIZ CRESCIMENTO 1","GALIPRO (SC C/25KG)","29,503","796,501"
"RACAO MATRIZ CRESCIMENTO 1","FOSFATO BIC 19%","973,8","6019,32"
"RACAO MATRIZ CRESCIMENTO 1","ADITIVO CONSERVANTE ANTISALMONELA","118","484,5509"
"RACAO MATRIZ CRESCIMENTO 1","VALINA","17,67","235,1454"
"RACAO MATRIZ CRESCIMENTO 1","FOSFATIDILCOLINA 1,6%","11,782","184,5438"
"RACAO MATRIZ CRESCIMENTO 1","MINERAL ORGANICO BR BTX","29,537","762,2165"
"RACAO MATRIZ CRESCIMENTO 1","TRIPTOFANO","11,78","264,1767"
"RACAO MATRIZ CRESCIMENTO 1","PX VIT/MIN MTZ CRIA E RECRIA","118,057","2545,309"
"RACAO MATRIZ GALO 2","ADSORVENTE DE MICOTOXINAS NOTOX POUTRY","43,468","527,2491"
"RACAO MATRIZ GALO 2","BICARBONATO DE SODIO","43,517","147,9578"
"RACAO MATRIZ GALO 2","CALCARIO AVIC PO","319,4","51,45161"
"RACAO MATRIZ GALO 2","FARELO DE SOJA 46/47%","1644,8","2770,848"
"RACAO MATRIZ GALO 2","FARELO DE TRIGO GRANEL","4984,4","5088,104"
"RACAO MATRIZ GALO 2","METIONINA DL-99 PO","86,973","1220,429"
"RACAO MATRIZ GALO 2","SAL MOIDO P/ RACAO","81,188","113,6632"
"RACAO MATRIZ GALO 2","TREONINA 98,5%","41,976","356,1357"
"RACAO MATRIZ GALO 2","SORGO EM GRAO","21425,4","20265,24"
"RACAO MATRIZ GALO 2","GALIPRO (SC C/25KG)","14,545","392,6755"
"RACAO MATRIZ GALO 2","FOSFATO BIC 19%","221","1366,06"
"RACAO MATRIZ GALO 2","ADITIVO CONSERVANTE ANTISALMONELA","58","238,1691"
"RACAO MATRIZ GALO 2","FOSFATIDILCOLINA 1,6%","8,713","136,4735"
"RACAO MATRIZ GALO 2","PRECIZYON FIT 10000","2,901","54,56781"
"RACAO MATRIZ GALO 2","SANGROVIT ED","2,897","544,6541"
"RACAO MATRIZ GALO 2","MINERAL ORGANICO BR BTX","14,489","373,8956"
"RACAO MATRIZ GALO 2","TRIPTOFANO","8,685","194,7687"
"RACAO MATRIZ GALO 2","PX VIT/MIN MTZ GALOS","58,055","1681,853"
"RACAO MATRIZ GALO 2","ACTIVE - D CONCENTRADO","2,177","348,6881"
"RACAO MATRIZ PRE REPRODUCAO","ADSORVENTE DE MICOTOXINAS NOTOX POUTRY","43,001","521,5845"
"RACAO MATRIZ PRE REPRODUCAO","BICARBONATO DE SODIO","64,479","219,2286"
"RACAO MATRIZ PRE REPRODUCAO","CALCARIO AVIC PO","1344,6","216,5555"
"RACAO MATRIZ PRE REPRODUCAO","FARELO DE SOJA 46/47%","5641,6","9504,633"
"RACAO MATRIZ PRE REPRODUCAO","FARELO DE TRIGO GRANEL","4492","4585,61"
"RACAO MATRIZ PRE REPRODUCAO","METIONINA DL-99 PO","85,944","1205,99"
"RACAO MATRIZ PRE REPRODUCAO","SAL MOIDO P/ RACAO","128,935","180,509"
"RACAO MATRIZ PRE REPRODUCAO","TREONINA 98,5%","36,586","304,8307"
"RACAO MATRIZ PRE REPRODUCAO","SORGO EM GRAO","30449,4","28791,74"
"RACAO MATRIZ PRE REPRODUCAO","GALIPRO (SC C/25KG)","21,499","580,4147"
"RACAO MATRIZ PRE REPRODUCAO","FOSFATO BIC 19%","481,6","2976,899"
"RACAO MATRIZ PRE REPRODUCAO","ADITIVO CONSERVANTE ANTISALMONELA","86","353,1473"
"RACAO MATRIZ PRE REPRODUCAO","FOSFATIDILCOLINA 1,6%","8,618","134,9855"
"RACAO MATRIZ PRE REPRODUCAO","PRECIZYON FIT 10000","4,293","80,75133"
"RACAO MATRIZ PRE REPRODUCAO","SANGROVIT ED","4,297","807,8629"
"RACAO MATRIZ PRE REPRODUCAO","MINERAL ORGANICO BR BTX","21,453","553,605"
"RACAO MATRIZ PRE REPRODUCAO","TRIPTOFANO","10,738","240,809"
"RACAO MATRIZ PRE REPRODUCAO","FERRO ORGANICO TRACE FE 22%","8,588","88,9632"
"RACAO MATRIZ PRE REPRODUCAO","PX VIT/MIN MTZ REPRODUCAO","86,097","2093,018"
"RACAO MATRIZ REPRODUCAO 1","ADSORVENTE DE MICOTOXINAS NOTOX POUTRY","195,858","2375,677"
"RACAO MATRIZ REPRODUCAO 1","BICARBONATO DE SODIO","411,42","1398,828"
"RACAO MATRIZ REPRODUCAO 1","CALCARIO AVIC PO","7859,6","1265,44"
"RACAO MATRIZ REPRODUCAO 1","CALCARIO AVIC GRANULADO","6610","1240,682"
"RACAO MATRIZ REPRODUCAO 1","CARBONATO DE POTASSIO","117,575","1293,654"
"RACAO MATRIZ REPRODUCAO 1","FARELO DE SOJA 46/47%","35519,4","59847,69"
"RACAO MATRIZ REPRODUCAO 1","FARELO DE TRIGO GRANEL","4556","4651,164"
"RACAO MATRIZ REPRODUCAO 1","METIONINA DL-99 PO","391,963","5500,135"
"RACAO MATRIZ REPRODUCAO 1","SAL MOIDO P/ RACAO","509,422","713,1908"
"RACAO MATRIZ REPRODUCAO 1","TREONINA 98,5%","186,222","1609,5"
"RACAO MATRIZ REPRODUCAO 1","SORGO EM GRAO","133918,6","126724,2"
"RACAO MATRIZ REPRODUCAO 1","GALIPRO (SC C/25KG)","98,075","2647,759"
"RACAO MATRIZ REPRODUCAO 1","FOSFATO BIC 19%","1673,8","10346,21"
"RACAO MATRIZ REPRODUCAO 1","OLEO DE SOJA DEGOMADO","3192,35","21279,26"
"RACAO MATRIZ REPRODUCAO 1","ADITIVO CONSERVANTE ANTISALMONELA","392","1609,695"
"RACAO MATRIZ REPRODUCAO 1","VALINA","19,612","260,9887"
"RACAO MATRIZ REPRODUCAO 1","FOSFATIDILCOLINA 1,6%","58,91","922,7191"
"RACAO MATRIZ REPRODUCAO 1","PRECIZYON FIT 10000","19,597","368,6196"
"RACAO MATRIZ REPRODUCAO 1","SANGROVIT ED","19,663","3696,767"
"RACAO MATRIZ REPRODUCAO 1","MINERAL ORGANICO BR BTX","97,993","2528,757"
"RACAO MATRIZ REPRODUCAO 1","TRIPTOFANO","29,338","657,9301"
"RACAO MATRIZ REPRODUCAO 1","FERRO ORGANICO TRACE FE 22%","39,181","405,8765"
"RACAO MATRIZ REPRODUCAO 1","PX VIT/MIN MTZ REPRODUCAO","392,143","9532,996"
"RACAO MATRIZ REPRODUCAO 1","ACTIVE - D CONCENTRADO","14,696","2353,845"
