ProcedureName,Type,SourceFile,SourceLine,CalledFrom,CallCount,IsEventHandler,HasBusinessLogic
AbreQuerBookMark,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,13619,-,1,No,Yes
AbreWebBrowser,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,14396,-,1,No,Yes
AchaDia_Util,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,11866,-,6,No,Yes
ArreIdadPesa,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,10239,-,4,No,Yes
ArreIdadTabe,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,11625,-,19,No,Yes
ArruParaEstr,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,11729,-,78,No,Yes
AtuaColeCust,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,10905,-,17,No,Yes
AtuaCustCole,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,10850,-,17,No,Yes
BloqProdCarr,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,12177,-,24,No,Yes
BuscCampSQL,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,10947,PlusUni.SQL_MediPond,23,No,Yes
BuscDia_Util,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,11881,PlusUni.ProxDia_Util,1,No,Yes
BuscValo,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,15201,PlusUni.FSXXImNF_ProcessarNotas,3,No,Yes
BuscValoLike,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,15212,PlusUni.FSXXImNF_ProcessarNotas; PlusUni.SalvaInfoPaga,2,No,Yes
BuscaBandeira,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,15233,PlusUni.FSXXImNF_ProcessarNotas; PlusUni.SalvaInfoPaga,1,No,Yes
BuscaForma,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,15269,PlusUni.FSXXImNF_ProcessarNotas; PlusUni.SalvaInfoPaga,0,No,Unknown
BuscaTipo,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,15279,PlusUni.FSXXImNF_ProcessarNotas; PlusUni.SalvaInfoPaga,4,No,Yes
CalcNumeNota,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,12449,-,15,No,Yes
CampPersDuplCliq,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,5631,-,6,No,Yes
CampPersExecExit,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,3698,-,4,No,Yes
CampPersExecExitShow,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,5654,-,35,No,Yes
CampPersExecNoOnShow,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,8022,-,22,No,Yes
CampPersInicGravPara,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,3334,-,116,No,Yes
CampPersListChecColumnClick,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,7991,-,5,No,Yes
CampPers_BuscModi,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,8089,-,18,No,Yes
CampPers_BuscSQL,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,2557,-,4,No,Yes
CampPers_CompCamp_Tipo,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,7808,-,10,No,Yes
CampPers_ConfWeb,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,7802,-,1,No,Yes
CampPers_CriaBtn_LancCont,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,8124,-,26,No,Yes
CampPers_EP,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,7782,-,6,No,Yes
CampPers_EX,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,6376,-,195,No,Yes
CampPers_ExecData,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,5733,-,5,No,Yes
CampPers_ExecLinhStri,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,5747,-,30,No,Yes
CampPers_OB,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,7600,-,5,No,Yes
CampPers_TR,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,7796,-,2,No,Yes
Cancela,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,9462,-,74,No,Yes
CarrAcesModu,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,9739,-,3,No,Yes
ChamModa,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,9624,PlusUni.VeriAlteSenhVenc,31,No,Yes
ChamRela,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,8260,-,9,No,Yes
ChamRelaEspe,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,8274,-,4,No,Yes
CompAtuaTabeGravRegi,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,13521,-,15,No,Yes
ConfGrav,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,8216,-,14,No,Yes
ConvCampParaBMP_,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,13596,-,2,No,Yes
ConvCampParaFigu,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,13574,-,2,No,Yes
ConvertDataStringToDateTime,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,15365,PlusUni.FSXXImNF_ProcessarNotas,24,No,Yes
CriaAlteUsua,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,14455,-,38,No,Yes
DataCole,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,10265,PlusUni.SQL_MediPondIdad,10,No,Yes
DataSenh_FormToDate,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,14555,PlusUni.GetDataAcesGrav; PlusUni.GetDataValiGrav; PlusUni.GetDataVencNumeGrav; PlusUni.GetDataVeriNumeGrav; PlusUni.GravaControles,7,No,Yes
DataSet_FormValoCamp_Stri,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,13504,-,5,No,Yes
Devo_DistQtde_InseTota,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,9195,-,12,No,Yes
DiasMes,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,11820,PlusUni.AchaDia_Util,0,No,Unknown
DifeEntrMes,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,11857,-,0,No,Unknown
DuplRegiTabe,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,11384,-,17,No,Yes
EditTabeCabe,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,9374,-,2,No,Yes
EditTabeCabeCamp,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,9338,PlusUni.EditTabeCabe,4,No,Yes
EditTabeCabeCodi,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,9380,-,8,No,Yes
EstoProd_CalcReal,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,11997,-,6,No,Yes
Ex_ManuDado,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,13412,-,11,No,Yes
ExisUsua,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,10120,-,8,No,Yes
FSXXImNF_BuscarNotas,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,16109,-,37,No,Yes
FSXXImNF_ProcessarNotas,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,15151,PlusUni.FSXXImNF_BuscarNotas,151,No,Yes
FaixTipo,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,11900,-,0,No,Unknown
FechQuerTela,procedure,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,9872,-,5,No,Yes
FuncDaGr,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,10394,-,3,No,Yes
FuncDaIn,function,C:/Trabalho/Edata/GIT/MIMS_V7/SAG/PlusUni.pas,10450,-,4,No,Yes
