SourceUnit,SourceMethod,SourceLine,TargetUnit,TargetMethod,CallType,Context,Depth
PlusUni,AbreQuerBookMark,13619,Qry,sgRefresh,External,PlusUni.AbreQuerBookMark,1
PlusUni,AbreWebBrowser,14396,TFrmPOChWebB,Create,External,PlusUni.AbreWebBrowser,1
PlusUni,AchaDia_Util,11866,PlusUni,DiasMes,Local,PlusUni.AchaDia_Util,1
PlusUni,AchaDia_Util,11866,PlusUni,and,Local,PlusUni.AchaDia_Util,1
PlusUni,AchaDia_Util,11866,PlusUni,Inc,Local,PlusUni.AchaDia_Util,1
PlusUni,AchaDia_Util,11866,PlusUni,VeriDia_Vali,Local,PlusUni.AchaDia_Util,1
PlusUni,AchaDia_Util,11866,PlusUni,EncodeDate,Local,PlusUni.AchaDia_Util,1
PlusUni,AchaDia_Util,11866,PlusUni,Inc,Local,PlusUni.AchaDia_Util,1
PlusUni,ArreIdadPesa,10239,PlusUni,and,Local,PlusUni.ArreIdadPesa,1
PlusUni,ArreIdadPesa,10239,PlusUni,Frac,Local,PlusUni.ArreIdadPesa,1
PlusUni,ArreIdadPesa,10239,PlusUni,Trunc,Local,PlusUni.ArreIdadPesa,1
PlusUni,ArreIdadPesa,10239,PlusUni,MudaReal,Local,PlusUni.ArreIdadPesa,1
PlusUni,ArreIdadTabe,11625,PlusUni,GetPSis,Local,PlusUni.ArreIdadTabe,1
PlusUni,ArreIdadTabe,11625,PlusUni,and,Local,PlusUni.ArreIdadTabe,1
PlusUni,ArreIdadTabe,11625,PlusUni,GetPSis,Local,PlusUni.ArreIdadTabe,1
PlusUni,ArreIdadTabe,11625,PlusUni,and,Local,PlusUni.ArreIdadTabe,1
PlusUni,ArreIdadTabe,11625,PlusUni,GetPSis,Local,PlusUni.ArreIdadTabe,1
PlusUni,ArreIdadTabe,11625,PlusUni,and,Local,PlusUni.ArreIdadTabe,1
PlusUni,ArreIdadTabe,11625,PlusUni,GetPSis,Local,PlusUni.ArreIdadTabe,1
PlusUni,ArreIdadTabe,11625,PlusUni,GetPBas,Local,PlusUni.ArreIdadTabe,1
PlusUni,ArreIdadTabe,11625,PlusUni,ExecSQL_,Local,PlusUni.ArreIdadTabe,1
PlusUni,ArreIdadTabe,11625,PlusUni,sgFixedPoint,Local,PlusUni.ArreIdadTabe,1
PlusUni,ArreIdadTabe,11625,PlusUni,ExecSQL_,Local,PlusUni.ArreIdadTabe,1
PlusUni,ArreIdadTabe,11625,PlusUni,sgFixedPoint,Local,PlusUni.ArreIdadTabe,1
